ViolationTypeID,ViolationType,ViolationCategoryID,ViolationDeduction,RiskCategory,T_Stamp
162,"Over Flowing Trash Cans",19,,"",
163,"Human Waste",19,,"",
164,"Sewage Leak",19,,"",
165,"Animal Feces",19,,"",
166,"Smoking in Common Areas",19,,"",
167,"Mold Accumulation",19,,"",
168,"Improper disposal of Needles/Sharps",19,,"",
169,"Defective Walls",19,,"",
170,"Worn/Soiled Carpets",19,,"",
171,"Worn/Soiled Furnishings",19,,"",
172,"Unsanitary Floors",19,,"",
173,"Unsanitary Walls",19,,"",
174,"Unsanitary Bathrooms/Toilet Rooms",19,,"",
175,"Inadequate Ventilation",19,,"",
176,"Inadequate Lighting",19,,"",
177,"Foul Odors",19,,"",
178,"Mouse Infestation",20,,"",
179,"Rat Infestation",20,,"",
180,"Pigeon Roosting",20,,"",
181,"Cockroach Infestation",20,,"",
182,"Ant Infestation",20,,"",
183,"Spider Infestation",20,,"",
184,"Flea Infestation",20,,"",
185,"Lice Infestation",20,,"",
186,"Scabies Infestation",20,,"",
187,"Mosquito Infestation",20,,"",
188,"Bed Bug Infestation",20,,"",
189,"Garbage Accumulation",20,,"",
190,"Over Flowing Trash Cans",20,,"",
191,"Human Waste",20,,"",
192,"Sewage Leak",20,,"",
193,"Animal Feces",20,,"",
194,"Smoking in Common Areas",20,,"",
195,"Mold Accumulation",20,,"",
196,"Improper disposal of Needles/Sharps",20,,"",
197,"Defective Walls",20,,"",
198,"Worn/Soiled Carpets",20,,"",
199,"Worn/Soiled Furnishings",20,,"",
200,"Unsanitary Floors",20,,"",
201,"Unsanitary Walls",20,,"",
202,"Unsanitary Bathrooms/Toilet Rooms",20,,"",
203,"Inadequate Ventilation",20,,"",
204,"Inadequate Lighting",20,,"",
205,"Foul Odors",20,,"",
206,"Mouse Infestation",21,,"",
207,"Rat Infestation",21,,"",
208,"Pigeon Roosting",21,,"",
209,"Cockroach Infestation",21,,"",
210,"Ant Infestation",21,,"",
211,"Spider Infestation",21,,"",
212,"Flea Infestation",21,,"",
213,"Lice Infestation",21,,"",
214,"Scabies Infestation",21,,"",
215,"Mosquito Infestation",21,,"",
216,"Bed Bug Infestation",21,,"",
217,"Garbage Accumulation",21,,"",
218,"Over Flowing Trash Cans",21,,"",
219,"Human Waste",21,,"",
220,"Sewage Leak",21,,"",
221,"Animal Feces",21,,"",
222,"Smoking in Common Areas",21,,"",
223,"Mold Accumulation",21,,"",
224,"Improper disposal of Needles/Sharps",21,,"",
225,"Defective Walls",21,,"",
226,"Worn/Soiled Carpets",21,,"",
227,"Worn/Soiled Furnishings",21,,"",
228,"Unsanitary Floors",21,,"",
229,"Unsanitary Walls",21,,"",
230,"Unsanitary Bathrooms/Toilet Rooms",21,,"",
231,"Inadequate Ventilation",21,,"",
232,"Inadequate Lighting",21,,"",
233,"Foul Odors",21,,"",
234,"Mouse Infestation",22,,"",
235,"Rat Infestation",22,,"",
236,"Pigeon Roosting",22,,"",
237,"Cockroach Infestation",22,,"",
238,"Ant Infestation",22,,"",
239,"Spider Infestation",22,,"",
240,"Flea Infestation",22,,"",
241,"Lice Infestation",22,,"",
242,"Scabies Infestation",22,,"",
243,"Mosquito Infestation",22,,"",
244,"Bed Bug Infestation",22,,"",
245,"Garbage Accumulation",22,,"",
246,"Over Flowing Trash Cans",22,,"",
247,"Human Waste",22,,"",
248,"Sewage Leak",22,,"",
249,"Animal Feces",22,,"",
250,"Smoking in Common Areas",22,,"",
